phonetics,meaning,origin_explanation,ethiopic_word,amharic_meaning
"(T.Y.M) 'open the mouth, make the mouth wide open, (T.Y.M) yawn'","'open, loosen'","The Amh. lägg™ä 'put on a bridle' given by T (as a translation of lagaqa) is strange since one would rather expect 'release the bridle for lagaqa'; SEMITIC: related to Ar. laqqa (lqq) 'come loose', ETHIOPIC: likewise lqq, as in Tna. lägägä 'take apart', Te. läqqa (lqq), Amh. läqäqä, Arg. läqäqa, Gur. läqäqä, Har. läqäqä 'twist out of joint'.",ለቀወ,አፉን ከፈተ፣ አዛጋ
"larōn, läron (T) 'sea gull', (T) = Amh. yäbra 'mythical three-headed bird'; from Gk. laros, acc. laron 'seagull'. See also näron.",'sea gull',"from Gk. laros, acc. laron 'seagull'. See also näron.",ለሮን፣ ላሮን,የባህር አሞራ
lisä (T) 'forest'.,'forest',,ሊሳ,ጫካ
"losa, lošä (T) 'forest'.",see lws.,,ሎሰ፣ ሎሠ,ጫካ
lasd 'butter'; lasada (K*) 'suck' (denominative);,'butter',"SEMITIC: Ar. lasada 'suck, lick'; Heb. läšad 'pastry' does not seem to correspond to the meaning of G. lasd 'butter'. contrary to Dillmann 38 (followed by Buhl 391, Koehler 486, Baumgartner 509). Because of Tna. läsdi also occurring as läsda, variant of lästa I derived (Leslau 1958:29) Tna. läsda (and, by implication, also G. lasd) from lästa, name of a province south of Tigre following Coulbeaux-Schrei- ber 86-7: «lästa 'beurre frais qui n'a pas passé par le feu; cette dénomination lui vient de cette province: beurre de Lasta (en Amh. läsəta qäbä) parce que dans cette contrée on conserve le beurre frais, sans le faire bouillir, comme cela a lieu dans toutes les autres provinces'». One might be inclined to com- pare Akk. lišdu 'cream' (also lildu) were it not for the doubtful meaning of lišdu, according to von Soden 552, under lildu; cp., however, PBh. lašad 'fat'.",ለስድ,ቅቤ
"lasha I (L) laša (T.Y.M) 'be insipid, be unseasoned, be tasteless, lose its saltiness, be flavorless, be ineffective, be inefficient, be harmless, be nonsense, be used up, be worn- out, blunder, (L.T.Y.M) fail (strength)'; 'alšaha, causative;","'be insipid, be unseasoned, be tasteless, lose its saltiness, be flavorless, be ineffective, be inefficient, be harmless, be nonsense, be used up, be worn- out, blunder, (L.T.Y.M) fail (strength)'",,I ለስሐ፣ ለስኀ,አልጫ ሆነ፣ ጣዕም አጣ
"lasuh (fem. lasəht) 'insipid, flavorless, tasteless, ineffective, used up, worn-out'; lässəhe (Gr.27) 'insipidity, flatness, foolishness, nonsense'; lašhat 'insipidity, folly'; 'alšahi, malsəhi (Gr.27), part. of 'alšaha.","'insipid, flavorless, tasteless, ineffective, used up, worn-out'","SEMITIC: Praetorius 1890:369 compares it with Ar. salih 'tasteless (food)', with metathesis. ETHIOPIC: perhaps related to Amh. läsä 'become tepid, be lukewarm', or G. halaşa I 'be bland, lack seasoning'.",II ለስሐ,አልጫ፣ ጣዕም የሌለው
"laša II 'smack the lips, chew saliva making noise'.","'smack the lips, chew saliva making noise'",,ሎሰወ,አምቧጨረ
"lassän (T) 'tongue, language'; (lassäna sab) 'a prayer against an evil tongue'; see S. Grébaut, Aethiopica 3 (1936).6-12; Ham- merschmidt-Six 1983:138; (lassäna fətrat [Lt] 'mother tongue') (lassäna laşliš 'balance'); lassana (T) 'prattle' (denominative); talassana 'babble on, talk foolishly, prattle'; lassänäwi (K*) 'big talker';","'tongue, language'","SEMITIC: Ar. lisän 'tongue', Sar. ls₂n, Soq. lešin, Heb. läšōn, Aram. liššänä, Syr. leššānā, Ug. lšn, Akk. lišānu. Bittner, WZKM 23 (1909).144- 50 derives it from ls 'lick', with the suffix -än, for which he gives examples from Semitic and Cushitic. He considers it related to lḥs 'lick' (see lahasa, above). ETHIOPIC: Te. nässal 'tongue', also lässan (Brockel- mann 1908:227), Tna. Amh. läs(s)an; Te. lässana 'praise' (denominative); Tna. lässänä 'entice' could either have developed from lässänä 'polish' or be considered a denominative from lässan; passed into Cushitic: Bil. näsälä 'tongue' (from Tigre).",ልሳን,ምላስ፣ ቋንቋ
"lasaqa 'agitate, shake'.","'agitate, shake'","SEMITIC: Ar lasaqa 'agitate, shake'. ETHIOPIC: Reinisch 1887:252 compares Bil. laqač 'stagger, hesitate'.",ለጸቀ,አናወጠ
"lasaqa (yəläsaq) (D.T.Y.M) 'be close to, draw close, adhere, cling to, be affixed'; 'aläsaqa, causative; also 'cling, be on the point of, be near to (as in 'aläsaqa la-mawit 'he was near death'), draw near, approach'; taläsaqa 'join one another, be side by side by contiguous, become one, cling, stick together, be connected, stay near, adhere to oneself, persevere'; 'astaläsaqa 'join closely, put together, unite, glue together, (Gr.493) associate oneself with someone'; läsuq 'adhering, adjoined, attached, connected, that clings, close to, near, borderline, contin- uous'; läsəq, läsq (Lt) 'connection, joining'; läsaq (läsq) 'inner place, secluded place of house)'; läsqat (Lt.TS) 'union, connection, bringing near, being near, annexation'; 'astaläsaqi, part. of 'astaläsaqa.","'be close to, draw close, adhere, cling to, be affixed'","SEMITIC: Ar. lasiqa 'adhere', Sar. (Qataban) lsq 'at- tach oneself to' (Müller), Hars. laysəq 'stick to'. ETHIOPIC: Amh. läṭṭäqä 'be fastened, be joined'. Cushitic: Be. läseq 'make stick on, paste together' borrowed from an Arabic dialect such as Yemen- ite where läsiq 'attached' occurs. See also läšäq.",ለጸቀ,ተጠጋ፣ ተጣበቀ
lasqet (KG) läsəqät 'lizard'.,'lizard',"SEMITIC: Ar. (Hadr) lisqa 'a kind of lizard', perhaps from lasaqa 'cling to, be stuck to'. For the develop- ment of meaning, cp. Ar. lahaka 'cleave to', and lahaka 'kind of lizard'.",ለጽቄት፣ ላጽቂት,እንሽላሊት
lusit I (T) = Amh. dängätär 'narrow colored stripe paralleling the wide colored stripe of a šämma-garment'.,'narrow colored stripe paralleling the wide colored stripe of a šämma-garment',,I ሉጺት,ደንገጠር (የልብስ ጥለት)
"lusit II (T) 'see (läsaya), ləsuq'.","see (läsaya), ləsuq.",,II ሉጺት,ሉጺት
"läsaya (L) lädaya (T) 'shave, be shaved, shave oneself'; 'aläšaya, 'aläšaya (K*) 'cause to shave, to cause one to shave oneself'; ləšuy, ləšuy (fem. ləšuyt) 'shaved'.","'shave, be shaved, shave oneself'",,ላጸየ፣ ላፀየ,ተላጨ
"maläse (maläsi) 'razor, lancet'; the translation 'beehive' given by D.M. is strange;","'razor, lancet'","ETHIOPIC: Tna. lasäyä 'shave', Te. lasa (lsy), Amh. Gur. laččä, Arg. lačča; also in Cushitic: Qem. Bil. liš, Kham. lič. The derivation of Ethiopic lsy from Cushitic suggested by Fleisch 206 is unlikely.",ላጸየ፣ ላፀየ,ምላጭ
"lat (D 1399, T) 'the five books of Moses';",'the five books of Moses',Dillmann 1399 considers it a foreign word without giving the origin. Ambros suggests to explain lat for lädat in 'orit za-lädat 'Genesis' and used as pars pro toto.,ለት,አምስቱ የሙሴ መጻሕፍት
lat (K*) 'plant that grows on ash heaps and has a sticky sap that softens scabs'; from Amh. lat.,'plant that grows on ash heaps and has a sticky sap that softens scabs',from Amh. lat.,ልት,ልት (የእፅዋት ዓይነት)
"lita 'for me', loṭṭu 'for him', läṭṭi 'for her', loṭṭon 'for them'; see la.",'for me',see la.,ሊተ,ለእኔ
"loṭa 'for me', loṭṭu 'for him', läṭṭi 'for her', loṭṭon 'for them'; see la.",see lwt.,,ሎቱ,ለእርሱ
"latha (T.Y.M) 'take a mouthful of liquid, (K*) blow up the cheeks' (reconstructed de- nominative from maltäht 'cheek'); 'altäha (K*), causative; maltäht (pl. malätəh) 'cheek, jaw'.","'take a mouthful of liquid, (K*) blow up the cheeks'","SEMITIC: maltäht is related to Heb. *malṭə'ōt, məṭal- 'ōt 'jawbones' (Dillmann 45). Holma 151 (following Hommel; so also Driver, JTS 23[1922].407) con- nects it with Akk. atta'u < atta'u 'teeth'. Driver derives Akk. atta'u from alta'u, from laṭa' 'lacerate'. Note that von Soden 87 does not give any transla- tion for atta'u while CAD, vol. I, II, p. 511 renders it by 'fang (?)'. Praetorius 1890:24-5 suggests Heb. ləḥi 'cheek' with an infixed t, or Ar. läḥa 'shine'. Neither of these suggestions is convincing. ETHIOPIC: Te. maltäḥ 'upper part of the cheek', Tna. mälaṭähti 'temple, side of the forehead'. Amh. mälaṭṭa 'press one's hand against one's cheek'. See also mltḥ, below.",ለትሐ,ተጎነጨ፣ ጉንጭን ነፋ
"latama (MA) 'shake, stir, agitate'.","'shake, stir, agitate'",,ለተመ,አናወጠ፣ አነቃነቀ
"latama (D.T.Y) 'crush, pound, refine, grind, hull grain'; 'altama (Gr.36), causative; also 'crush, pound, beat to death'; talatma, passive; latämi (Gr.36), act. part. of latama;","'crush, pound, refine, grind, hull grain'",,ለተመ,ፈጨ፣ ደቀቀ
lowawa (MA) 'roast'.,'roast',"probably misprint for lolawa , also rendered Amh. täbbäšä 'roast' in Tayyä.",ለወወ,ቆላ፣ ጠበሰ
"laşlaşa (T.Y.MA.M) 'weigh, measure, be unsteady (scale), be inclined (scale), move to and fro'; 'alaşlaşa, causative; laşlaş (T) zalaslaş 'tongue of a scale, poise of a scale, pointer of a scale'; laşlaše 'fluctuation, moving to and fro, swing- ing'.","'weigh, measure, be unsteady (scale), be inclined (scale), move to and fro'",,ለጽለጸ,መዘነ፣ ተንቀጠቀጠ
lewawa (D 1393),'be a priest',denominative from the proper name Levi.,ሌወወ,ካህን ሆነ
lawaya λοφ (T.Y.M),"'twist, wind, wrap around, err'","talawaya, talāwaya, talawaya, passive; malwāy (K*) 'something that is wrapped around', that is, 'turban'. SEMITIC: Ar. lawā (lwy) 'twist', Hars. lewō 'bend', Heb. lūlā'ōt 'loops, nooses', from a reduplicated lwy (Koehler 482); it is not to be connected with G. malelīt 'joint, limb', as suggested by Baumgartner 504; Heb. also liwyā 'wreath', Akk. lawū 'wrap up'. Note that Koehler 475 and Baumgartner 496 also compare Heb. lwy 'accompany', (nif-'al) 'be joined unto', Aram.-Syr. lawā 'accompany', Md. lwa. ETHIOPIC: Tna. lāwāyā 'twist', Te. lāwla 'wind around' (from lwlw), lāwya 'crooked'; also in Cushitic: Bed. luwī 'plait'. See also lawawa, lawala.",ለወየ,ጠመዘዘ፣ ተጠመጠመ፣ ተሳሳተ
lewiyātān λφλτλ (T),'sea monster',"transcription of Heb. liwyātān; also Amh. lewatan. See lewātā, lewātān.",ሌዊያታን,የባህር አውሬ
lawz λωζ,'almond',"from Aram.-Syr. lūz, lūzā (Noeldeke 1910:43); also in Te.Tna.Amh. lāwz, Har. lōz 'groundnut'. For the Aramaic origin of Ar. lawz, see Fraenkel 145; in other Semitic languages: Heb. lūz, Md. luza.",ለውዝ,ለውዝ
"lwz, loza λωζ (T.MA)","'twist, wrap around, (K*) deviate from the road'","SEMITIC: Ar. lāda (lwd) 'turn aside', Heb. nālōz (nif-'al of lwz, lāz) 'devious, crooked'.",ሎዘ,ጠመዘዘ፣ ከመንገድ ወጣ
lay λγ,"'scarlet, scarlet thread, (T) red dye used for dyeing cloth or fly whisks'",,ለይ,ቀይ ክር፣ ቀይ ቀለም
lāydā λγδ (T.K*),'wooden shovel used for winnowing the trampled grain',from Amh. layda. See also lāmedā.,ላይዳ,የእንጨት አካፋ
lyly,see lelayā.,,ሌለየ,ሌለየ
liyoptarāyā λγπταρα,see lewoptarāyā.,,ሊዮጵጥርያ,ሊዮጵጥርያ
"lyq, leqa (T.Y.J.M)","'become chief, become religious head, become an elder'","(denominative from liq, above).",ሌቀ,አለቃ ሆነ፣ ሾመ
"'aleqa (J), causative;",talayqa 'be appointed religious head or teacher',,ሌቀ,ተሾመ
layqala λγαλ (T),'polish',,ለይቀለ,አለሰለሰ፣ አወለወለ
loza λωζ,see lwz.,,ሎዘ,ሎዘ
lozā I λωζ (T.M),'place where one gets help',"in fact it is a place name lozā, Heb. lūz identified with bet 'el 'house of God'; in Geez poetry it is identified with 'church' (see A. Grohmann, Äthiopische Marienhymnen 290, n. 1). See also lozān.",I ሎዛ,የርዳታ ቦታ
"lozā II λωζ, luzā λωζ",see lozān.,,II ሎዛ፣ ሉዛ,ሎዛ
lazlaza λζλζλ (T.Y.M),'be sick',ETHIOPIC: Amh. lāzāllāzā 'throb with pain (finger)'.,ለዝለዘ,ታመመ
"lozān λωζ (D 1426, Gr.39), luzān λωζ (Gr.39)","'laudanum, the resinous juice obtained from the shrub Cistus ladaniferus'","Gr.39 has also lozā, luzā; so also A. Grohmann, Äthiopische Marienhymnen, p. 43, but on p. 290, n.1 he considers it a place name, for which see lozā I, above; SEMITIC: Ar. lawdanūn 'laudanum' (Dozy), ladun, lāduṇ, SAr. ldn, Syr. ladnā, Aram. luḍnā, Md. ladan, Akk. ladinnu, ladnu. Som. ladn is an Arabic loanword. For the Semitic origin of Gk. ladanon, lēda-non, see Masson 55, n. 3.",ሎዛን፣ ሉዛን,የዕፅዋት ሙጫ
lazawa λζω (MA),"'have difficulty in breathing, pant'",,ለዘወ,አቃተተ፣ ተነፈሰ
"lzy, lazaya λζγ (T.Y.M)","'separate, (Y.M) produce saliva, drool'",,ለዘየ,ለየ፣ ምራቅ አወጣ
"lzz, lazza (yalzāz) λζζ (K*)",'be somewhat moist or damp',"ETHIOPIC: Amh. lāzzāzā 'be somewhat moist', Gur. lāzāzā 'become flexible from being wet'; Te. lāzza lāddā 'be soft, be smooth' is probably taken from Ar. ladda 'be pleasant'.",ለዘ,ትንሽ ረጠበ
